Symbol,Name,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,United States,Industrials,Aluminum
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,Finance,Blank Checks
AAN,Aarons Holdings Company Inc. Common Stock ,United States,Miscellaneous,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,United States,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,
ABT,Abbott Laboratories Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,Industrials,Metal Fabrications
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Publishing
ACEL,Accel Entertainment Inc. ,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains
ACM,AECOM Common Stock,United States,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Consumer Discretionary,Business Services
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
ADC,Agree Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,
ADCT,ADC Therapeutics SA Common Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,Consumer Staples,Packaged Foods
ADNT,Adient plc Ordinary Shares ,United States,Consumer Discretionary,Auto Parts:O.E.M.
ADT,ADT Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,United States,Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,,
AEG,Aegon Ltd. New York Registry Shares,Netherlands,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited Common Stock,Canada,Basic Materials,Precious Metals
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable
